,Millas_Por_Galon,Cilindros,Pais_Origen,Peso_En_Libras,Desplazamiento,Aceleracion,Nombre,Anyo,Caballo_De_Fuerza,Potencia especifica_log10,Sqrt(var1)*exp(var2)/200,"Si var 1 > var 2 → 5, caso contrario 3",1/logn(var1/var2)*100,var2**2/var1
0,18.0,8,USA,3504,307.0,12.0,chevrolet chevelle malibu,1/01/1970,130.0,-1.4306207451892063,9278.45,3,-30.357065865545955,4.823059360730594
1,15.0,8,USA,3693,350.0,11.5,buick skylark 320,1/01/1970,165.0,-1.3498953634370725,6340.14,3,-32.17245526330731,7.372055239642567
2,18.0,8,USA,3436,318.0,11.0,plymouth satellite,1/01/1970,150.0,-1.3599618961035234,3666.53,3,-31.934312508869905,6.548311990686845
3,16.0,8,USA,3433,304.0,12.0,amc rebel sst,1/01/1970,150.0,-1.3595825443700689,9966.65,3,-31.943222844514533,6.554034372269152
4,17.0,8,USA,3449,302.0,10.5,ford torino,1/01/1970,140.0,-1.3915651586891526,2148.45,3,-31.20906550379251,5.682806610611771
5,15.0,8,USA,4341,429.0,10.0,ford galaxie 500,1/01/1970,198.0,-1.340924595577169,1549.7,3,-32.38768856471905,9.031098825155494
6,14.0,8,USA,4354,454.0,9.0,chevrolet impala,1/01/1970,220.0,-1.2964657438828693,600.94,3,-33.498338382821835,11.116214974735875
7,14.0,8,USA,4312,440.0,8.5,plymouth fury iii,1/01/1970,215.0,-1.302240292263077,360.32,3,-33.34979607707578,10.72008348794063
8,14.0,8,USA,4425,455.0,10.0,pontiac catalina,1/01/1970,225.0,-1.2937307569224816,1651.98,3,-33.569154909507496,11.440677966101696
9,15.0,8,USA,3850,390.0,8.5,amc ambassador dpl,1/01/1970,190.0,-1.3067071285556717,338.73,3,-33.23579342398521,9.376623376623376
10,15.0,8,USA,3563,383.0,10.0,dodge challenger se,1/01/1970,170.0,-1.3213669009727416,1435.95,3,-32.86706225072992,8.11114229581813
11,14.0,8,USA,3609,340.0,8.0,plymouth 'cuda 340,1/01/1970,160.0,-1.3532668994035824,188.53,3,-32.092300646284635,7.093377666943752
12,15.0,8,USA,3761,400.0,9.5,chevrolet monte carlo,1/01/1970,150.0,-1.399212074366718,818.11,3,-31.03850301605016,5.982451475671364
13,14.0,8,USA,3086,455.0,10.0,buick estate wagon (sw),1/01/1970,225.0,-1.137213403615767,1651.98,3,-38.18935659062879,16.404731043421904
14,24.0,4,Japan,2372,113.0,15.0,toyota corona mark ii,1/01/1970,95.0,-1.3973910794033773,159312.2,3,-31.078950503153052,3.8048060708263067
15,22.0,6,USA,2833,198.0,15.5,plymouth duster,1/01/1970,95.0,-1.4745229692315893,262661.41,3,-29.453219174305133,3.185668902223791
16,18.0,6,USA,2774,199.0,15.5,amc hornet,1/01/1970,97.0,-1.4563347224710212,265411.87,3,-29.821062095283086,3.3918529199711607
17,21.0,6,USA,2587,200.0,16.0,ford maverick,1/01/1970,85.0,-1.4833775030022507,409629.45,3,-29.277407876570233,2.7928102048705066
18,27.0,4,Japan,2130,97.0,14.5,datsun pl510,1/01/1970,88.0,-1.3838969312885692,92999.65,3,-31.381996164907534,3.635680751173709
19,27.0,4,Japan,2130,97.0,14.5,datsun pl510,1/01/1970,88.0,-1.3838969312885692,92999.65,3,-31.381996164907534,3.635680751173709
20,27.0,4,Japan,2130,97.0,14.5,datsun pl510,1/01/1971,88.0,-1.3838969312885692,92999.65,3,-31.381996164907534,3.635680751173709
21,27.0,4,Japan,2130,97.0,14.5,datsun pl510,1/01/1971,88.0,-1.3838969312885692,92999.65,3,-31.381996164907534,3.635680751173709
22,26.0,4,Europe,1835,97.0,20.5,volkswagen 1131 deluxe sedan,1/01/1970,46.0,-1.6008782369065342,27126002.61,3,-27.12851432988827,1.153133514986376
23,25.0,4,Europe,2672,110.0,17.5,peugeot 504,1/01/1970,87.0,-1.4873172011848896,1857304.3,3,-29.199856060110502,2.832709580838323
24,24.0,4,Europe,2430,107.0,14.5,audi 100 ls,1/01/1970,90.0,-1.4313637641589874,94050.53,3,-30.341307554227914,3.3333333333333335
25,25.0,4,Europe,2375,104.0,17.5,saab 99e,1/01/1970,95.0,-1.3979400086720375,1940819.92,3,-31.066746727980593,3.8
26,26.0,4,Europe,2234,121.0,12.5,bmw 2002,1/01/1970,113.0,-1.2960047252961706,14262.32,3,-33.51025450960484,5.715756490599821
27,21.0,6,USA,2648,199.0,15.0,amc gremlin,1/01/1970,90.0,-1.4686754713283374,155063.11,3,-29.570486494913407,3.0589123867069485
28,10.0,8,USA,4615,360.0,14.0,ford f250,1/01/1970,215.0,-1.3317332454463255,88168.2,3,-32.61122175843103,10.016251354279524
29,10.0,8,USA,4376,307.0,15.0,chevy c20,1/01/1970,200.0,-1.3400473176613932,231154.44,3,-32.40889155027513,9.140767824497258
30,11.0,8,USA,4382,318.0,13.5,dodge d200,1/01/1970,210.0,-1.3194530784907672,52851.24,3,-32.91473482331117,10.063897763578275
31,9.0,8,USA,4732,304.0,18.5,hi 1200d,1/01/1970,193.0,-1.389487426948119,7519631.77,3,-31.255733120028275,7.871724429416737
32,28.0,4,USA,2264,140.0,15.5,chevrolet vega 2300,1/01/1971,90.0,-1.400633913076909,255655.85,3,-31.00699460783402,3.57773851590106
33,25.0,4,Japan,2228,113.0,14.0,toyota corona,1/01/1971,95.0,-1.3701915812128436,58607.68,3,-31.695894782744922,4.050718132854578
34,19.0,6,USA,2634,232.0,13.0,amc gremlin,1/01/1971,100.0,-1.420615770625765,22120.67,3,-30.57086165613592,3.7965072133637054
35,16.0,6,USA,3439,225.0,15.5,plymouth satellite custom,1/01/1971,105.0,-1.5152428767520754,276139.87,3,-28.661707543160503,3.205873800523408
36,17.0,6,USA,3329,250.0,15.5,chevrolet chevelle malibu,1/01/1971,100.0,-1.5223137951566674,269484.92,3,-28.5285782264462,3.0039050765995796
37,19.0,6,USA,3302,250.0,15.5,ford torino 500,1/01/1971,88.0,-1.5742943967766063,252799.27,3,-27.58661167774445,2.345245305875227
38,18.0,6,USA,3288,232.0,15.5,amc matador,1/01/1971,100.0,-1.5169318088680128,269484.92,3,-28.62979597133885,3.0413625304136254
39,14.0,8,USA,4209,350.0,12.0,chevrolet impala,1/01/1971,165.0,-1.406694981534116,10453.12,3,-30.873393849007563,6.468282252316465
